Date,Player1,Player2,Sets_P1,Sets_P2,P1_G1,P2_G1,P1_G2,P2_G2,P1_G3,P2_G3,P1_G4,P2_G4,P1_G5,P2_G5,HomeWinner
1751205600,817602,896952,1,3,10,12,9,11,12,10,8,11,0,0,0
1751204700,1123412,962341,0,3,14,16,1,11,5,11,0,0,0,0,0
1751204100,671137,799626,3,1,9,11,11,1,11,5,11,9,0,0,1
1751203500,512104,695309,2,3,11,13,8,11,11,5,11,5,7,11,0
1751202600,788338,920854,3,1,11,9,6,11,11,9,11,8,0,0,1
1751202300,962341,1123412,3,1,11,8,13,15,11,8,11,8,0,0,1
1751201700,945058,816200,0,3,8,11,6,11,4,11,0,0,0,0,0
1751201400,808048,735031,2,3,8,11,13,11,11,7,8,11,7,11,0
1751200800,380030,384004,2,3,7,11,14,12,17,15,10,12,3,11,0
1751200500,833546,747673,2,3,11,2,13,11,8,11,13,15,9,11,0
1751199900,695309,816200,3,2,8,11,7,11,11,4,11,1,11,5,1
1751199600,799626,671137,1,3,8,11,11,7,7,11,7,11,0,0,0
1751199000,920854,384004,2,3,9,11,13,11,1,11,11,5,4,11,0
1751198700,770453,273429,1,3,7,11,11,8,10,12,9,11,0,0,0
1751198100,945058,512104,2,3,2,11,4,11,11,3,11,6,4,11,0
1751197800,735031,671137,3,0,11,6,11,8,11,9,0,0,0,0,1
1751197200,380030,788338,1,3,9,11,11,8,6,11,10,12,0,0,0
1751196900,1123412,747673,0,3,12,14,5,11,4,11,0,0,0,0,0
1751196300,816200,512104,3,2,11,7,11,13,6,11,11,2,11,6,1
1751196000,799626,808048,0,3,5,11,6,11,8,11,0,0,0,0,0
1751195400,384004,788338,3,0,11,8,11,6,11,5,0,0,0,0,1
1751195100,273429,962341,3,1,11,6,11,9,9,11,14,12,0,0,1
1751194500,945058,695309,1,3,4,11,9,11,11,6,3,11,0,0,0
1751194200,671137,808048,2,3,9,11,11,3,8,11,11,8,8,11,0
1751193600,380030,920854,3,2,12,10,11,6,4,11,3,11,12,10,1
1751193300,770453,833546,0,3,8,11,4,11,7,11,0,0,0,0,0
1751193000,683491,304509,3,1,11,5,11,8,9,11,11,8,0,0,1
1751192400,799626,735031,2,3,7,11,11,9,11,6,4,11,10,12,0
1751191800,902188,769162,2,3,8,11,11,8,11,9,10,12,8,11,0
1751191500,273429,747673,0,3,7,11,10,12,9,11,0,0,0,0,0
1751191200,375973,382065,3,2,11,5,11,4,9,11,6,11,11,9,1
1751190900,482831,1109527,0,3,5,11,8,11,11,13,0,0,0,0,0
1751190000,909920,384004,2,3,11,6,8,11,11,8,9,11,6,11,0
1751189700,833546,1123412,3,0,11,8,11,9,11,6,0,0,0,0,1
1751189100,710121,1000354,1,3,2,11,5,11,11,9,4,11,0,0,0
1751189100,375973,304509,1,3,11,8,7,11,6,11,9,11,0,0,0
1751188200,902188,384004,3,0,11,7,11,6,11,9,0,0,0,0,1
1751187900,770453,962341,3,0,11,8,12,10,11,9,0,0,0,0,1
1751187300,683491,382065,3,1,11,7,11,4,10,12,11,6,0,0,1
1751187000,1000354,710121,1,3,11,3,7,11,10,12,8,11,0,0,0
1751186400,769162,909920,3,2,8,11,11,9,11,9,6,11,12,10,1
1751186100,273429,833546,0,3,8,11,3,11,8,11,0,0,0,0,0
1751185500,304509,382065,3,2,11,6,9,11,11,5,8,11,11,9,1
1751185200,1109527,482831,1,3,15,17,9,11,11,3,9,11,0,0,0
1751184600,384004,909920,2,3,11,7,11,8,10,12,4,11,11,13,0
1751184300,833546,962341,3,0,11,5,15,13,11,6,0,0,0,0,1
1751183700,683491,375973,3,2,8,11,4,11,14,12,13,11,12,10,1
1751183400,710121,482831,2,3,11,7,13,11,10,12,10,12,10,12,0
1751182800,769162,902188,0,3,9,11,4,11,11,13,0,0,0,0,0
1751182500,770453,1123412,1,3,5,11,6,11,11,5,6,11,0,0,0
1751181900,382065,375973,0,3,6,11,5,11,6,11,0,0,0,0,0
1751181600,1109527,1000354,2,3,5,11,4,11,11,9,11,9,8,11,0
1751181000,909920,902188,2,3,9,11,11,7,13,11,8,11,2,11,0
1751180700,962341,747673,0,3,7,11,10,12,4,11,0,0,0,0,0
1751180100,683491,304509,3,2,11,6,9,11,5,11,11,8,11,6,1
1751179800,482831,1000354,3,2,11,7,11,5,6,11,9,11,11,8,1
1751179200,769162,384004,3,0,15,13,11,9,11,4,0,0,0,0,1
1751178900,273429,1123412,3,2,11,8,9,11,11,4,11,13,11,7,1
1751178000,1109527,710121,3,1,12,10,7,11,11,6,11,9,0,0,1
1751177100,770453,747673,1,3,8,11,7,11,11,7,6,11,0,0,0
1751164800,1050239,700866,3,1,11,9,9,11,11,7,14,12,0,0,1
1751163000,943432,1071490,1,3,11,8,8,11,9,11,5,11,0,0,0
1751160600,700866,943432,3,1,15,13,11,8,8,11,11,8,0,0,1
1751158800,1071490,1050239,1,3,10,12,7,11,11,8,5,11,0,0,0
1751157000,943432,1050239,0,3,8,11,8,11,4,11,0,0,0,0,0
1751155800,1154439,703798,3,2,8,11,11,2,11,5,9,11,13,11,1
1751155500,1051003,767041,2,3,9,11,13,11,12,10,5,11,7,11,0
1751155200,1071490,700866,2,3,13,15,12,10,11,4,5,11,6,11,0
1751153700,703798,767041,3,0,11,6,11,7,11,9,0,0,0,0,1
1751153400,1050239,700866,3,0,11,9,12,10,11,5,0,0,0,0,1
1751153400,1051003,1154439,1,3,11,8,5,11,2,11,7,11,0,0,0
1751151900,767041,1154439,0,3,11,13,7,11,3,11,0,0,0,0,0
1751151600,1051003,703798,0,3,5,11,11,13,7,11,0,0,0,0,0
1751151600,1071490,943432,2,3,11,8,6,11,11,7,7,11,10,12,0
1751151000,729974,920393,3,1,11,3,9,11,11,6,12,10,0,0,1
1751150100,1154439,703798,3,2,9,11,6,11,11,6,12,10,11,9,1
1751149800,380029,343473,3,0,11,1,11,9,11,8,0,0,0,0,1
1751149800,770453,273429,1,3,11,9,2,11,5,11,5,11,0,0,0
1751149800,1051003,767041,3,2,5,11,11,8,11,13,12,10,11,6,1
1751148000,962341,747673,1,3,5,11,11,8,6,11,8,11,0,0,0
1751148000,1010717,853196,3,2,10,12,11,8,4,11,11,6,11,9,1
1751147700,699247,739531,3,2,15,13,11,6,4,11,11,13,11,4,1
1751147400,699249,710603,0,3,8,11,8,11,7,11,0,0,0,0,0
1751146800,729974,920393,2,3,8,11,7,11,11,3,11,6,3,11,0
1751146200,833546,776317,3,2,9,11,11,8,5,11,11,4,11,6,1
1751146200,383509,380926,0,3,5,11,8,11,5,11,0,0,0,0,0
1751145600,380029,343473,3,1,11,6,7,11,11,5,11,5,0,0,1
1751145300,739531,710603,3,1,11,9,11,7,5,11,11,8,0,0,1
1751145000,699249,699247,1,3,12,14,11,4,7,11,10,12,0,0,0
1751144700,920393,343473,3,0,11,8,11,7,12,10,0,0,0,0,1
1751144400,273429,962341,3,0,11,6,11,8,11,8,0,0,0,0,1
1751143800,380926,853196,2,3,4,11,13,11,4,11,11,9,7,11,0
1751143500,710603,699247,0,3,7,11,7,11,7,11,0,0,0,0,0
1751143200,380029,729974,0,3,6,11,6,11,5,11,0,0,0,0,0
1751143200,699249,739531,1,3,6,11,11,8,11,13,8,11,0,0,0
1751142900,997912,949902,2,3,9,11,11,9,11,4,1,11,8,11,0
1751142600,770453,747673,3,2,6,11,11,9,8,11,11,9,11,9,1
1751142000,343473,729974,0,3,2,11,10,12,5,11,0,0,0,0,0
1751142000,1010717,383509,3,1,11,5,5,11,11,3,11,5,0,0,1
1751141700,699247,739531,3,1,11,9,12,10,12,14,14,12,0,0,1
1751141400,699249,710603,3,2,5,11,11,9,19,17,10,12,11,8,1
1751141100,959552,1107118,3,1,9,11,11,9,11,6,11,4,0,0,1
1751140800,833546,776317,3,1,11,4,13,11,10,12,11,5,0,0,1
1751140200,853196,383509,3,1,11,7,8,11,11,4,11,7,0,0,1
1751139300,959552,1042284,3,1,11,8,8,11,11,5,11,8,0,0,1
1751139000,962341,747673,3,1,11,8,11,7,3,11,11,6,0,0,1
1751138400,1010717,380926,3,1,9,11,11,4,11,6,11,9,0,0,1
1751137800,380029,920393,3,2,11,9,6,11,10,12,11,8,11,9,1
1751137500,997912,1107118,3,0,12,10,12,10,11,9,0,0,0,0,1
1751137200,776317,273429,1,3,11,9,5,11,8,11,8,11,0,0,0
1751136900,920393,990071,3,2,11,8,5,11,11,7,8,11,11,6,1
